"","Interventions","count","percentage"
"1",NA,12,25
"2","DEVICE: Genomics",1,2.08333333333333
"3","DEVICE: Bay Labs EchoGPS Echcoardiogram|DEVICE: Native Terason Echocardiogram",1,2.08333333333333
"4","OTHER: optima4BP",1,2.08333333333333
"5","DIAGNOSTIC_TEST: Artificial intelligence tool for transthoracic echocardiography",1,2.08333333333333
"6","OTHER: mammography",1,2.08333333333333
"7","BEHAVIORAL: Artificial Intelligence (AI) Activity|BEHAVIORAL: 10,000 steps",1,2.08333333333333
"8","BEHAVIORAL: Motivational interviewing training enhanced with artificial intelligence",1,2.08333333333333
"9","DIAGNOSTIC_TEST: Computer-aided polypectomy decision support by Artificial Intelligence",1,2.08333333333333
"10","DEVICE: Ultivision AI",1,2.08333333333333
"11","DEVICE: Anemia Control Model (ACM)|DRUG: IV iron|DRUG: Erythropoiesis-Stimulating Agent (ESA)",1,2.08333333333333
"12","DIAGNOSTIC_TEST: AI-assisted cEEG detection tool",1,2.08333333333333
"13","DEVICE: Automatic Sound Management 3.0",1,2.08333333333333
"14","BEHAVIORAL: Laguna Health",1,2.08333333333333
"15","DEVICE: Kidney ACTion|OTHER: Standard of care",1,2.08333333333333
"16","DEVICE: EndoVigilant Software",1,2.08333333333333
"17","DEVICE: Thermalytix",1,2.08333333333333
"18","DEVICE: Scientific Consciousness Interface Operations (SCIO) Class II FDA approved medical device",1,2.08333333333333
"19","OTHER: Mobile Game System for Potential Treatment of Developmental Delays",1,2.08333333333333
"20","DIETARY_SUPPLEMENT: Dietary supplement|OTHER: Placebo",1,2.08333333333333
"21","OTHER: Surgeons CT scan analysis|DEVICE: PRAEVAorta CT scan analysis",1,2.08333333333333
"22","DEVICE: Use of Eko CORE electronic stethoscope",1,2.08333333333333
"23","DEVICE: Radiograph interpretation for pulmonary abnormalities",1,2.08333333333333
"24","DEVICE: Us2.ai (AI-enabled report) handheld echocardiogram",1,2.08333333333333
"25","OTHER: Cognition ECHO",1,2.08333333333333
"26","DRUG: Interferon-ß-1a|COMBINATION_PRODUCT: Standard of Care (SOC)",1,2.08333333333333
"27","DEVICE: Use of Identifor assessment tool and Companion app|OTHER: Referral to employment agencies",1,2.08333333333333
"28","BEHAVIORAL: Mobile Mental Health App",1,2.08333333333333
"29","DEVICE: Superpower Glass",1,2.08333333333333
"30","RADIATION: Preparative Radiation Therapy|PROCEDURE: Hepatocyte Transplant|DRUG: Immunosuppression|OTHER: Liver Evaluation|BEHAVIORAL: Neuro-psychological Assessment|DIAGNOSTIC_TEST: Whole body Phe oxidation testing|PROCEDURE: Liver Biopsy",1,2.08333333333333
"31","OTHER: Traditional workflow triage|OTHER: Machine learning workflow triage|OTHER: Random workflow triage",1,2.08333333333333
"32","DRUG: esketamine nasal spray|DRUG: placebo nasal spray",1,2.08333333333333
"33","BEHAVIORAL: e-Psychotherapy/Psychoeducation",1,2.08333333333333
"34","OTHER: The Nori Health app",1,2.08333333333333
"35","OTHER: Standard of Care|OTHER: Enhanced Care",1,2.08333333333333
"36","PROCEDURE: Feasability of a personalised physical rehabilitation program at home",1,2.08333333333333
"37","DRUG: Debio 1347",1,2.08333333333333
