"","Primary Outcome Measures","count","percentage"
"1","Patient Genomics, During Aim 2, Determined Patient Genotypes: CYP2C9 and VKORC1., Baseline",1,2.08333333333333
"2","Echocardiogram image acquisition quality, Echocardiogram image acquisition quality. View quality will be characterized by the following system: adequate (American College of Emergency Physicians (ACEP) score 5), mildly limited (ACEP score 4), moderately limited (ACEP score 3), and severely limited (ACEP score 1 and 2). This will graded for each echocardiogram view as below and for the study as a whole.

* Parasternal long axis
* Parasternal short axis - aortic valve level
* Parasternal short axis - mid ventricle
* Apical 4 chamber
* Apical 2 chamber
* Subcostal - 4 chamber
* Subcostal - inferior vena cava, immediately after the intervention|Educational outcome, The medical resident's comfort with echocardiography will be established using the following questionnaire. The answers to each question are (1) very uncomfortable, (2) somewhat uncomfortable, (3) somewhat comfortable, and (4) very comfortable. These answers will be reported separately and in aggregate.

How comfortable do you feel in your knowledge of the indications for ordering an echocardiogram? How comfortable do you feel in understanding echocardiographic reports as it applies to your patients? How comfortable do you feel in obtaining routine echocardiographic views using an ultrasound machine? How comfortable do you feel in interpreting echocardiographic images after the images have already been obtained? In an emergency situation, how comfortable would you feel in performing an echocardiogram using an ultrasound machine and interpreting the images to rule out serious cardiac pathology such as severe left ventricular systolic dysfunction or a large pericardial effusion?, 1 month",1,2.08333333333333
"3","Reduction in systolic BP [SBP] (mmHg) measure in the office, optima4BP leads \>6 mmHg of the BP reduction compared to Standard of Care, 12 months",1,2.08333333333333
"4","Detect patients with pulmonary hypertension (PH) with the novel artificial intelligence tool (AIT), Measure the proportion of patients the developed AIT correctly identifies as having PH., Month 24|Detect patients without pulmonary hypertension (PH) with the novel artificial intelligence tool (AIT), Measure the proportion of patients the developed AIT correctly identifies as not having PH., Month 24|Detect patients with pre-capillary pulmonary hypertension (PH) with the novel artificial intelligence tool (AIT), Measure the proportion of patients the developed AIT correctly identifies as having pre-capillary PH., Month 24|Detect patients with post-capillary pulmonary hypertension (PH) with the novel artificial intelligence tool (AIT), Measure the proportion of patients the developed AIT correctly identifies as having post-capillary PH., Month 24|Compare the artificial intelligence tool (AIT) performance for detecting pulmonary hypertension (PH) with the current probability criteria, Compare the proportion of patients identified by the AI tool as having PH with the current guideline criteria for diagnosing PH from a TTE., Month 24|Evaluate early detection capabilities of the artificial intelligence tool (AIT) compared to standard of care clinical diagnosis, Compare the proportion of patients identified by the AI tool as having PH with current standard clinical practice, Month 24",1,2.08333333333333
"5","area under curve (AUC), area under receiver operating characteristic (ROC) curve in percentage (%), 3 years|accuracy, proportion of true results(both true positives and true negatives) among whole instances, 3 years|sensitivity, true positive rate in percentage(%) derived by ROC analysis, 3 years|specificity, true negative rate in percentage (%) derived by ROC analysis, 3 years",1,2.08333333333333
"6","AF termination, conversion to sinus rhythm or stable atrial tachycardia, during the ablation procedure",1,2.08333333333333
"7","Changes in weekly daily average steps, measured by ActiGraph GT9X Link\], Baseline (run-in period), 4 week-test period, and 3-month intervention period|Duration (minutes) of moderate to vigorous intensity physical activity (MVPA) per day, measured by ActiGraph GT9X Link\], Baseline (run-in period), 4 week-test period, and 3-month intervention period",1,2.08333333333333
"8","Changes in perceptions of the patient-clinician relationship by patients of participating residents., The Patient-Doctor Relationship Questionnaire-9 (PDRQ-9) will be used to assess the patient's subjective perception of the quality of the patient-clinician relationship.The PDRQ-9 consists of 9 statements, for which there are response options ranging from 1 (not at all appropriate) to 5 (totally appropriate). Scores range from 9 to 45 with higher scores being more desirable., Measured every 3 months up to 4 years.",1,2.08333333333333
"9","Accuracy of the CADp system, accuracy with which the CADp system predicts completeness of polypectomy in the test set with the reference standard for completeness being determined by the histology of post-polypectomy margin biopsies; if free from any polyp tissue (adenomatous, serrated or hyperplastic), the resection will be considered complete. If remnant polyp tissue is detected in any one or more of the margin biopsies the resection is deemed incomplete, 3 weeks|Completeness of polypectomy, We will evaluate the agreement between the different subjective and objective ways of assessing the completeness of the polypectomy : evaluation of margins (presence or not, measurement of margins) by endoscopists self-assessment, and by expert consensus., 1 month|Training CADp, Evaluation of the concordance of data on polyp size, extension of margins around the polyp, quality of resection between clinical data (endoscopists' self-assessment and experts' assessments) and CADp prediction., 1 month|Validity of the choice of primary outcome, Based on the results and comparison of the different assessment methods, we will perform sensitivity analyses to assess the validity and robustness of the choice of primary outcome., 1 month",1,2.08333333333333
"10","Adenoma per Colonoscopy (APC), Superiority of Ultivision-AI arm versus control arm. APC is defined as the total number of histologically confirmed adenomas resected divided by the total number of colonoscopies., During the procedure/surgery|Adenoma Per Extraction (APE)., Non inferiority of Ultivision-AI arm versus control arm. Where APE is the fraction of adenoma, sessile serrated lesions, and large (\>10mm) hyperplastic polyps of the proximal colon (caecum, ascending colon, hepatic flexure, and transverse colon) out of total number of resections., During the procedure/surgery",1,2.08333333333333
